Kodas,EAN,Likutis
778981,5901571374369,0
12950,5901571378732,1
5903182,5904165683816,0
791481,5904165684080,0
5911805,5904165689887,1
5911806,5904165689894,0
5911808,5904165689900,0
5914644,5907001941989,1
788374,5904165682673,1
5908343,5904165686787,1
5909651,5904165688644,0
5914466,5907001940920,1
5914467,5907001940937,1
5914468,5907001941057,0
5914469,5907001941064,0
5909652,5904165688569,0
5906898,5904165685636,0
5906899,5904165685544,1
5906900,5904165685643,1
5906901,5904165685650,0
5908344,5904165687937,1
5908345,5904165687944,1
5914816,5907001942306,1
774894,5902605475670,1
5914817,5907001941897,1
5914819,5907001942085,1
5909787,5904165688798,0
5909788,5904165688804,1
5909789,5904165688811,1
5909790,5904165688828,0
5914561,5907001940203,1
5914562,5907001940210,1
5914563,5907001940227,1
5911809,5904165689917,0
5911810,5904165689924,0
5911812,5904165689931,0
778939,5902605477674,1
778940,5902605477681,1
778941,5902605477698,1
778943,5902605477711,1
778944,,1
5910650,5904165689214,0
5914127,5907001941507,0
5910651,5904165689221,0
5910652,5904165689238,0
5910653,5904165689245,0
5910654,5904165689252,0
5910655,5904165689269,0
5911813,5904165689948,0
5911814,5904165689955,1
5911815,5904165689962,0
5903470,5904165684578,0
788409,5904165682826,1
5909791,5904165688996,0
5909793,5904165689009,0
5909792,5904165689016,1
5909794,5904165689023,1
5903472,5904165684592,0
5914651,5907001942269,1
5914647,5907001942276,1
783371,5904165680013,1
5907939,5904165686701,1
5909653,5904165688620,1
5913166,5907001940944,0
5913167,5907001940951,0
5913168,5907001941071,1
5913141,5907001941088,1
5914638,5907001942016,1
5914642,5907001942023,1
783374,5904165680143,5
786143,5904165680839,1
778629,,1
774899,5902605475533,1
774902,5902605475830,1
5914652,5907001942092,1
5914648,5907001942108,0
5914640,5907001942030,1
5914643,5907001942047,5
5906906,5904165685612,1
5906907,5904165685513,1
5906908,5904165685520,0
5906909,5904165685537,1
5909537,5904165687302,1
5908398,5904165687319,0
5912979,5907001941385,0
5912980,5907001941392,1
5912981,5907001941408,0
5911816,5907001940173,0
5911817,5907001940180,1
5911818,5907001940197,1
783388,5904165680099,0
5909538,5904165686732,1
5909540,5904165688651,1
5912982,5907001940968,5
5912983,5907001940975,1
5912984,5907001941095,0
5912985,5907001941101,5
778986,5902605477018,5
777281,5902605477025,1
777276,5902605477032,1
778932,,1
782150,5902605479555,0
782149,5902605479548,1
5911988,5907001940098,5
5911989,5907001940104,5
5914653,5907001941859,1
5914654,5907001941866,1
5911830,5904165688491,5
5908606,5904165688507,15
5911832,5904165688514,1
5908305,5904165687777,1
5908306,5904165687784,0
5908307,5904165687791,5
5908309,5904165687227,1
5908310,5904165687210,5
5908311,5904165687234,0
5908312,5904165687241,5
5908313,5904165687203,0
5908314,5904165687265,5
5908315,5904165687258,1
788403,5904165682079,1
788419,5904165681812,0
788420,5904165682093,1
5907769,5904165685957,5
5907770,5904165685964,0
5907771,5904165685971,0
5907772,5904165685988,1
