SKU,EAN,STOCK,STATUS
772414,5902963071989,15,instock
772417,5902963071972,15,instock
772413,5902963071965,15,instock
772416,5902963071958,15,instock
772392,5902963071941,5,instock
772391,5902963071934,5,instock
772394,5902963071927,1,instock
772393,5902963071903,0,outofstock
772382,5902963071897,5,instock
772381,5902963071880,5,instock
772389,5902963071873,15,instock
772380,5902963071866,5,instock
772388,5902963071859,1,instock
5912431,5902963004345,1,instock
772387,5902963071651,1,instock
772386,5902963071644,1,instock
772389,5902963071637,1,instock
772385,5902963071620,5,instock
772388,5902963071613,1,instock
2532,5902963007735,5,instock
761266,5902963007742,15,instock
771398,5902963007759,15,instock
776160,5902963007964,0,outofstock
762780,5902963007971,15,instock
776161,5902963007988,5,instock
5910296,5902963007995,15,instock
762779,5902963008008,0,outofstock
5910298,5902963008015,15,instock
780954,5902963008022,1,instock
762776,5902963008039,5,instock
780955,5902963008046,1,instock
762787,5902963008053,15,instock
788738,5902963008060,15,instock
788737,5902963008077,15,instock
762788,5902963008084,1,instock
791380,5902963008091,15,instock
791381,5902963008107,15,instock
5903225,5902963008114,1,instock
762784,5902963008121,0,outofstock
5903226,5902963008138,1,instock
762782,5902963008145,15,instock
771765,5902963008152,15,instock
771766,5902963008169,1,instock
5905351,5902963008350,15,instock
5905352,5902963008367,15,instock
5905353,590293008374,15,instock
764613,5902963008381,1,instock
779205,5902963008398,1,instock
779206,5902963008404,5,instock
771343,5902963070999,5,instock
771344,5902963071002,15,instock
771345,5902963071019,5,instock
786650,5902963002334,5,instock
786648,5902963002341,5,instock
786651,5902963002358,15,instock
786646,5902963002372,1,instock
786644,5902963002389,5,instock
786647,5902963002396,1,instock
786645,5902963002402,0,outofstock
786638,5902963002419,15,instock
786636,5902963002426,1,instock
786639,5902963002433,1,instock
786637,5902963002440,1,instock
786682,5902963002457,1,instock
786680,5902963002464,5,instock
786683,5902963002471,1,instock
786679,5902963002495,1,instock
786676,5902963002501,1,instock
786678,5902963002518,1,instock
786662,5902963002532,5,instock
786660,5902963002549,1,instock
786663,5902963002556,5,instock
786658,5902963002570,5,instock
786656,5902963002587,5,instock
786659,5902963002594,5,instock
5912432,5902963002693,0,outofstock
5912433,5902963002709,0,outofstock
786654,5902963002716,5,instock
786652,5902963002723,15,instock
786655,5902963002730,15,instock
786642,5902963002754,0,outofstock
786640,5902963002761,5,instock
786643,5902963002778,0,outofstock
787099,5902963002792,5,instock
787097,5902963002808,5,instock
787100,5902963002815,15,instock
787098,5902963002822,1,instock
773774,5902963015976,1,instock
773773,5902963015945,0,outofstock
5907264,5902963000200,1,instock
5904429,5902963000606,5,instock
5904428,5902963000576,1,instock
5906192,5902963004734,0,outofstock
5906227,5902963004581,5,instock
5906226,5902963004598,0,outofstock
5906225,5902963004604,1,instock
5906224,5902963004611,1,instock
5906223,5902963004628,1,instock
5906215,5902963004666,1,instock
5906203,5902963004871,1,instock
5906202,5902963004864,0,outofstock
5906200,5902963004857,0,outofstock
5906197,5902963004901,5,instock
5906194,5902963004888,1,instock
774691,5902963008732,5,instock
3605,5902963008749,5,instock
788739,5902963008756,15,instock
771546,5902963008794,15,instock
