Kodas,EAN,stock_local,stock_supplier_fast,stock_supplier_slow,total_stock
3487,5710409201810,0,84,0,84
3489,5710409201834,0,22,0,22
3491,5710409201858,0,4,0,4
3538,5901560818157,0,0,1,1
3575,,0,0,1,1
3579,5905436710156,0,0,5,5
35P2416,5055166346160,0,0,0,0
3605,5902963008749,0,0,5,5
36P2630,5055166347921,0,0,0,0
36P2683,5055166348454,0,91,0,91
36P2685,5055166348478,0,18,0,18
370,5907645897000,0,0,15,15
3705,5905436710040,0,0,5,5
3707,5905436710149,0,0,1,1
3713,5906150530006,0,0,5,5
3724,5710409101585,0,1,0,1
3729,5710409101639,0,8,0,8
3737,5710409101967,0,309,0,309
3740,5710409101998,0,1,0,1
3741,5710409102001,0,19,0,19
3751,5710409102575,0,0,0,0
3752,5710409102582,0,38,0,38
3761,5710409102896,0,0,0,0
3762,5710409102919,0,0,0,0
3763,5710409102834,0,0,0,0
3765,5710409102858,0,237,0,237
3768,5710409103121,0,0,0,0
3769,5710409103138,0,0,0,0
3770,5710409103145,0,0,0,0
3771,5710409103152,0,0,0,0
3775,5710409103527,0,0,0,0
3789,5710409103695,0,13,0,13
3791,5710409103718,0,1,0,1
37984,5707167891674,0,130,0,130
37992,5712854205511,0,44,0,44
37P3049,5055166349499,0,9,0,9
37P3097,5055166349970,0,39,0,39
37P3098,5055166349987,0,1,0,1
37P3105,5055166350051,0,3,0,3
37P3110,5055166350105,0,9,0,9
37P3111,5055166350112,0,7,0,7
3805,5710409103855,0,1,0,1
3808,5710409104333,0,85,0,85
38093,5707167159477,0,106,0,106
3811,5710409104364,0,9,0,9
3812,5710409104371,0,3,0,3
38137,5707167855454,0,104,0,104
3828,5710409104760,0,68,0,68
3832,5710409104807,0,0,0,0
3834,5710409104821,0,0,0,0
3835,5904913543010,0,0,0,0
3836,5710409104845,0,0,0,0
3838,5710409104869,0,0,0,0
3839,5710409104876,0,2,0,2
3840,5710409104975,0,1,0,1
3841,5710409104982,0,2,0,2
3845,5905436710163,0,0,15,15
3848,5710409105194,0,4,0,4
3852,5710409105408,0,0,0,0
3853,5710409105637,0,0,0,0
3864,5905436714819,0,0,5,5
3888,5901436568018,0,0,5,5
3891,5905436714901,0,0,15,15
38P3381,5055166351812,0,24,0,24
38P3397,5055166351973,0,1,0,1
38P3398,5055166351980,0,34,0,34
38P3408,5055166352086,0,0,0,0
38P3415,5055166352154,0,16,0,16
38P3416,5055166352161,0,0,0,0
38P3417,5055166352178,0,0,0,0
38P3436,5055166352369,0,0,0,0
38P3437,5055166352376,0,2,0,2
3907,5710409106863,0,61,0,61
3908,5710409106870,0,80,0,80
3909,5710409106887,0,17,0,17
3910,5710409106894,0,26,0,26
3911,5710409106900,0,0,0,0
3912,5710409106917,0,14,0,14
3913,5710409106924,0,23,0,23
3914,5710409106931,0,15,0,15
3915,5710409106948,0,41,0,41
3918,5710409107129,0,13,0,13
3919,5710409107136,0,16,0,16
3923,5710409107235,0,10,0,10
3924,5710409107310,0,18,0,18
3925,5710409107327,0,106,0,106
3926,5710409107334,0,45,0,45
3927,5710409107341,0,43,0,43
3928,5710409107419,0,32,0,32
3929,5710409107587,0,66,0,66
3930,5710409107594,0,0,0,0
3931,5710409107600,0,3,0,3
3932,5710409107617,0,18,0,18
3933,5901912244955,0,21,15,36
3946,5710409108126,0,320,0,320
3947,5710409108133,0,53,0,53
3948,5710409108140,0,53,0,53
3949,5710409108157,0,8,0,8
3960,5710409108812,0,5,0,5
3961,5710409108829,0,10,0,10
3962,5710409108836,0,36,0,36
3963,5710409108843,0,64,0,64
3964,5710409108850,0,13,0,13
3965,5710409108867,0,102,0,102
3966,5710409108874,0,92,0,92
3968,0072239009604,0,0,1,1
3972,5710409109123,0,9,0,9
3973,5710409109130,0,0,0,0
3974,5710409109147,0,92,0,92
3988,5710409109918,0,57,0,57
3989,5710409109925,0,25,0,25
3990,5710409109932,0,70,0,70
3991,5710409109949,0,70,0,70
3992,5710409202046,0,8,0,8
3993,5710409202053,0,0,0,0
3998,5710409202114,0,26,0,26
39P3509,5055166353090,0,0,0,0
39P3511,5055166353113,0,19,0,19
39P3513,5055166353137,0,0,0,0
39P3517,5055166353175,0,38,0,38
39P3525,5055166353250,0,5,0,5
39P3528,5055166353281,0,9,0,9
39P3530,5055166353304,0,5,0,5
400,5907556800144,0,0,15,15
40001,3760039940001,0,49,0,49
40032,3760039940032,0,1,0,1
401,5907556800137,0,0,15,15
4022,5710409102414,0,49,0,49
4023,5710409102421,0,170,0,170
4024,5710409102438,0,182,0,182
4025,5710409102445,0,230,0,230
4026,5710409102452,0,94,0,94
4027,5710409102469,0,12,0,12
40315,3760039940315,0,68,0,68
4042,5904276097274,0,0,1,1
40490,3760039940490,0,33,0,33
40735,3760039940735,0,25,0,25
40742,3760039940742,0,153,0,153
40759,3760039940759,0,66,0,66
4088,5710409103022,0,147,0,147
40889,3760039940889,0,7,0,7
4089,5710409103039,0,0,0,0
4090,5710409103046,0,0,0,0
4091,5710409103053,0,123,0,123
4092,5710409103060,0,0,0,0
4093,5710409103077,0,149,0,149
4094,5710409103084,0,151,0,151
40957,3760039940957,0,74,0,74
40P3550,5055166355001,0,17,0,17
40P3561,5055166355117,0,29,0,29
40P3562,5055166355124,0,29,0,29
40P3563,5055166355131,0,5,0,5
40P3564,5055166355148,0,79,0,79
40P3568,5055166355186,0,17,0,17
40P3571,5055166355216,0,38,0,38
40P3587,5055166355377,0,10,0,10
40P3590,5055166355407,0,11,0,11
40P3597,5055166355476,0,24,0,24
40P3600,5055166355506,0,9,0,9
40P3602,5055166355520,0,0,0,0
40P3604,5055166355544,0,10,0,10
40P3607,5055166355575,0,0,0,0
40P3608,5055166355582,0,0,0,0
40P3609,5055166355599,0,1,0,1
41015,3760039941015,0,8,0,8
4103,5710409103343,0,111,0,111
4104,5710409103350,0,0,0,0
4105,5710409103367,0,0,0,0
4106,5710409103374,0,78,0,78
4107,5710409103459,0,10,0,10
4108,5710409103466,0,3,0,3
4109,5710409103541,0,569,0,569
4113,5710409103619,0,142,0,142
4114,5710409103626,0,195,0,195
4115,5710409103633,0,110,0,110
4116,5710409103640,0,0,0,0
4118,5710409103664,0,5,0,5
4119,5710409103671,0,9,1,10
4120,5710409103688,0,159,0,159
4122,5907556800236,0,0,15,15
41510,3760039941510,0,46,0,46
4181,,0,0,15,15
4183,5710409104203,0,10,0,10
4184,5710409104210,0,66,0,66
4185,5710409104227,0,62,0,62
4186,5710409104234,0,18,0,18
4187,5710409104241,0,67,0,67
4188,5710409104258,0,21,0,21
4191,5710409104395,0,49,0,49
4195,5710409104487,0,114,0,114
41P3644,5055166355940,0,31,0,31
41P3647,5055166355971,0,35,0,35
41P3649,5055166355995,0,3,0,3
41P3650,5055166356008,0,48,0,48
41P3652,5055166356022,0,74,0,74
41P3659,5055166356091,0,3,0,3
41P3660,5055166356107,0,14,0,14
41P3661,5055166356114,0,1,0,1
41P3663,5055166356138,0,0,0,0
4200,5710409104722,0,115,0,115
4216,5905436714017,0,0,1,1
4221,5904276097540,0,0,15,15
4238,5710409104739,0,114,0,114
4240,5710409104753,0,138,0,138
4241,5710409105224,0,98,0,98
4242,5710409105231,0,459,0,459
4243,5710409105415,0,131,0,131
4244,5710409105477,0,34,0,34
4245,5710409105521,0,25,0,25
4246,5710409105590,0,493,0,493
4257,5710409106757,0,26,0,26
4258,5710409106764,0,11,0,11
4259,5710409106771,0,26,0,26
4261,5710409106795,0,23,0,23
4262,5710409106801,0,27,0,27
426203,5712854796446,0,67,0,67
4264,5710409106825,0,63,0,63
4265,5710409106832,0,101,0,101
4277,5710409106726,0,33,0,33
4278,5710409106733,0,64,0,64
4279,5710409106740,0,78,0,78
4280,5710409107280,0,68,0,68
4282,5710409107518,0,544,0,544
4283,5710409107525,0,105,0,105
4284,5710409107532,0,695,0,695
